"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"11325",524780,1000,"FRYE APARTMENTS",2,11,234,592,0,0,83,2,4,3,1908,1970,100,"Y","N","N",1,"223 YESLER WAY 98104"
"11380",341660,825,"APARTMENT BLDG 11 UNITS",1,3,11,737,0,0,45,4,4,3,1965,1983,100,"N","N","N",1,"201 30TH AVE S 98144"
"11417",684365,0," 94 Res Units + 8 Coml L/W Units",1,6,94,837,3,3,0,1,4,3,2009,2009,100,"Y","Y"," ",2,"827 HIAWATHA PL S 98144"
"11426",859090,225,"THE BROADMORE APTS",1,4,33,945,3,3,0,3,4,4,1911,1981,100,"Y","N","N",1,"423 TERRY AVE 98104"
"11428",197920,125,"NETTLETON APARTMENTS",3,14,351,621,3,3,75,2,6,4,1949,1990,100,"Y","Y","N",1,"1000 8TH AVE 98104"
"11459",662570,0,"5 UNIT-3 STORY W/BSMT PARKING",1,3,5,1268,3,3,0,4,4,3,1994,1994,100,"N","N"," ",2,"1533 18TH AVE S 98144"
"11465",766010,205,"11 UNIT",1,2,11,615,3,3,10,4,4,3,1960,1980,100,"N","N","N",1,"1550 12TH AVE S 98144"
"11494",524780,2005,"METROPOLITAN PARK",1,5,83,644,2,3,25,4,5,4,1991,2001,100,"Y","Y","Y",2,"601 S WASHINGTON ST 98104"
"11504",377080,0,"8 UNIT CONDO",2,2,8,1302,3,3,0,4,4,3,1999,1999,100,"N","Y"," ",2,"815 23RD AVE S 98144"
"11738",872708,0,"Townhomes",1,2,4,900,3,3,0,4,4,3,1981,2002,100,"N","N","N",1,"932 29TH AVE S 98144"
"11781",332000,485,"26 unit apt",1,3,26,334,3,2,30,4,3,3,1910,1970,100,"N","N","N",1,"1414 S KING ST 98144"
"11788",396440,215,"PARKLAND APTS",1,2,12,459,3,3,0,4,5,3,1956,1983,100,"N","N","N",1,"1736 S HORTON ST 98144"
"11816",365580,0,"4 TOWNHOMES",1,3,4,1289,3,3,0,4,4,3,1994,1994,100,"N","N"," ",2,"2121 14TH AVE S 98144"
"11827",411460,1420,"30 unit apt",1,4,30,693,5,3,36,3,6,3,1959,1985,100,"Y","Y","N",1,"714 LAKESIDE AVE S 98144"
"11849",524780,1550,"IMPERIAL HOUSE",1,12,96,528,0,0,60,2,4,3,1979,1988,100,"Y","Y","N",1,"520 S MAIN ST 98104"
"11872",379600,93,"FOUR PLEX",1,2,4,636,3,3,0,4,3,3,1969,1990,100,"N","N","N",1,"2612 S WASHINGTON ST 98144"
"11896",331950,380,"20TH AND MAIN APARTMENTS",1,3,12,838,3,3,0,4,4,3,1992,1994,100,"Y","N","N",2,"2010 S MAIN ST 98144"
"11939",690970,390,"7 UNIT APT",1,3,7,642,3,3,60,4,5,3,1991,1996,100,"N","Y","Y",2,"1540 30TH AVE S 98144"
"11991",859040,465,"ZINDORF APTS",1,5,75,354,1,2,0,4,4,4,1911,1986,100,"N","Y","N",1,"714 7TH AVE 98104"
